date,period,signal,strategy,cost_bps,gross_return,net_return,turnover,benchmark_return,universe_size,long_count,short_count
1995-03-31,retrospective,INVESTMENT,long_only,0.0,0.019698886370271368,0.019698886370271368,0.21739130434782608,0.02640390144408159,918,183,0
1995-03-31,retrospective,INVESTMENT,long_only,10.0,0.019698886370271368,0.019481495065923542,0.21739130434782608,0.02640390144408159,918,183,0
1995-03-31,retrospective,INVESTMENT,long_only,25.0,0.019698886370271368,0.019155408109401802,0.21739130434782608,0.02640390144408159,918,183,0
1995-03-31,retrospective,INVESTMENT,long_short,0.0,0.002167694720933316,0.002167694720933316,0.46739130434782594,0.02640390144408159,918,183,183
1995-03-31,retrospective,INVESTMENT,long_short,10.0,0.002167694720933316,0.00170030341658549,0.46739130434782594,0.02640390144408159,918,183,183
1995-03-31,retrospective,INVESTMENT,long_short,25.0,0.002167694720933316,0.000999216460063751,0.46739130434782594,0.02640390144408159,918,183,183
1995-03-31,retrospective,LV,continuous_long_short,0.0,0.0046128672231141934,0.0046128672231141934,0.6210843327358738,0.02596782273342402,981,540,441
1995-03-31,retrospective,LV,continuous_long_short,10.0,0.0046128672231141934,0.00399178289037832,0.6210843327358738,0.02596782273342402,981,540,441
1995-03-31,retrospective,LV,continuous_long_short,25.0,0.0046128672231141934,0.003060156391274509,0.6210843327358738,0.02596782273342402,981,540,441
1995-03-31,retrospective,LV,long_only,0.0,0.01848928720597814,0.01848928720597814,0.31632653061224497,0.02596782273342402,981,196,0
1995-03-31,retrospective,LV,long_only,10.0,0.01848928720597814,0.018172960675365897,0.31632653061224497,0.02596782273342402,981,196,0
1995-03-31,retrospective,LV,long_only,25.0,0.01848928720597814,0.01769847087944753,0.31632653061224497,0.02596782273342402,981,196,0
1995-03-31,retrospective,LV,long_short,0.0,-0.0007654800170751783,-0.0007654800170751783,0.6224489795918369,0.02596782273342402,981,196,196
1995-03-31,retrospective,LV,long_short,10.0,-0.0007654800170751783,-0.001387928996667015,0.6224489795918369,0.02596782273342402,981,196,196
1995-03-31,retrospective,LV,long_short,25.0,-0.0007654800170751783,-0.0023216024660547706,0.6224489795918369,0.02596782273342402,981,196,196
1995-03-31,retrospective,MOM,continuous_long_short,0.0,-0.0044093518711151285,-0.0044093518711151285,1.141877262791571,0.025953429179795658,968,464,504
1995-03-31,retrospective,MOM,continuous_long_short,10.0,-0.0044093518711151285,-0.0055512291339066995,1.141877262791571,0.025953429179795658,968,464,504
1995-03-31,retrospective,MOM,continuous_long_short,25.0,-0.0044093518711151285,-0.007264045028094057,1.141877262791571,0.025953429179795658,968,464,504
1995-03-31,retrospective,MOM,long_only,0.0,0.016404430757814205,0.016404430757814205,0.6217616580310881,0.025953429179795658,968,193,0
1995-03-31,retrospective,MOM,long_only,10.0,0.016404430757814205,0.01578266909978312,0.6217616580310881,0.025953429179795658,968,193,0
1995-03-31,retrospective,MOM,long_only,25.0,0.016404430757814205,0.014850026612736485,0.6217616580310881,0.025953429179795658,968,193,0
1995-03-31,retrospective,MOM,long_short,0.0,-0.006489703764547199,-0.006489703764547199,1.2538860103626943,0.025953429179795658,968,193,193
1995-03-31,retrospective,MOM,long_short,10.0,-0.006489703764547199,-0.007743589774909894,1.2538860103626943,0.025953429179795658,968,193,193
1995-03-31,retrospective,MOM,long_short,25.0,-0.006489703764547199,-0.009624418790453936,1.2538860103626943,0.025953429179795658,968,193,193
1995-03-31,retrospective,QUALITY,continuous_long_short,0.0,-0.023452098118087718,-0.023452098118087718,0.25428787367524863,0.02599901382209638,962,381,581
1995-03-31,retrospective,QUALITY,continuous_long_short,10.0,-0.023452098118087718,-0.023706385991762967,0.25428787367524863,0.02599901382209638,962,381,581
