period,signal,strategy,cost_bps,n_months,cagr,annualized_volatility,sharpe,max_drawdown,hit_rate,average_monthly_turnover,benchmark_cagr,information_ratio_vs_benchmark,alpha_annualized,beta
holdout,QUALITY,long_only,25.0,11,0.14311931217608564,0.16171502274417301,0.9048363990425338,-0.06159287198157726,0.7272727272727273,0.11830048124464371,0.26350583482193635,-1.4304123329849434,-0.17025239534638403,1.306940897178285
holdout,QUALITY,long_short,0.0,11,-0.0068628635530695314,0.048333433713330924,-0.12027886748800909,-0.03805530867933926,0.45454545454545453,0.27824133806729895,0.26350583482193635,-1.9140921139850993,0.0035525852858286607,-0.038666320429590346
holdout,QUALITY,long_short,10.0,11,-0.010178797402202844,0.04839789105152079,-0.18910713931544743,-0.03978621754337297,0.45454545454545453,0.27824133806729895,0.26350583482193635,-1.939632304171364,0.0001926501108258389,-0.03857946385383443
holdout,QUALITY,long_short,25.0,11,-0.015134211077109994,0.04850681186175151,-0.29193282896481515,-0.042378271915135324,0.45454545454545453,0.27824133806729895,0.26350583482193635,-1.9778607450646482,-0.0048472526516783925,-0.03844917899020054
holdout,SIZE,long_only,0.0,11,0.1550962027520657,0.1860908957445667,0.8636906451193438,-0.07699912594860792,0.5454545454545454,0.31740063956144354,0.2641598469825286,-0.7490544131674682,-0.16572033751735088,1.3447921130086316
holdout,SIZE,long_only,10.0,11,0.1507437527835691,0.18612604222980336,0.8430639594645498,-0.07739108574760278,0.5454545454545454,0.31740063956144354,0.2641598469825286,-0.7837764887878456,-0.16963074467757258,1.3452106523025904
holdout,SIZE,long_only,25.0,11,0.1442431931438275,0.18617901078711088,0.8121374475585397,-0.07797902544609525,0.5454545454545454,0.31740063956144354,0.2641598469825286,-0.8358460936514612,-0.17549635541790515,1.3458384612435286
holdout,SIZE,long_short,0.0,11,-0.02658968282990315,0.07713389530273278,-0.3140313384118343,-0.042124782093580504,0.45454545454545453,0.3848835084513476,0.2641598469825286,-2.3611523433044144,-0.08368604137854398,0.244960346887841
holdout,SIZE,long_short,10.0,11,-0.03108823382872783,0.07715056978322876,-0.37382824989221547,-0.04318651693164832,0.45454545454545453,0.3848835084513476,0.2641598469825286,-2.402334502751712,-0.08836015249714008,0.24518901640076285
holdout,SIZE,long_short,25.0,11,-0.0378003761707737,0.07717610441925811,-0.46347202805238125,-0.04477765544958301,0.36363636363636365,0.3848835084513476,0.2641598469825286,-2.4641214301666845,-0.0953713191750342,0.24553202067014568
holdout,VALUE,long_only,0.0,11,0.1157398181954794,0.16988774466381723,0.7246901311972859,-0.06819425941760549,0.5454545454545454,0.1840241295131756,0.26607959697639805,-1.1087996989167763,-0.1522858093949479,1.1271906520325197
holdout,VALUE,long_only,10.0,11,0.11329491124534896,0.1699057196644528,0.7116163167070269,-0.06842006586921834,0.5454545454545454,0.1840241295131756,0.26607959697639805,-1.1286895522124467,-0.1544897492675791,1.1271728492415132
holdout,VALUE,long_only,25.0,11,0.10963673321718881,0.16993279625933028,0.6920103162686629,-0.06875877554663767,0.5454545454545454,0.1840241295131756,0.26607959697639805,-1.1585020190729023,-0.15779565907652582,1.127146145055003
holdout,VALUE,long_short,0.0,11,-0.07210191923391296,0.0772869279998953,-0.9300757468561488,-0.0730433669410625,0.36363636363636365,0.37388722484461656,0.26607959697639805,-1.9790037143459813,-0.016839190459397795,-0.22528730946429346
holdout,VALUE,long_short,10.0,11,-0.07628778644148781,0.07735446272565874,-0.9872648750816471,-0.07523646084019275,0.36363636363636365,0.37388722484461656,0.26607959697639805,-2.006798008121128,-0.02135462706667577,-0.2251694753809493
holdout,VALUE,long_short,25.0,11,-0.08253437596530933,0.07745903176210094,-1.072816328020734,-0.07851819241361602,0.36363636363636365,0.37388722484461656,0.26607959697639805,-2.048453725245361,-0.028127781977592754,-0.22499272425593317
