date,turnover,solver,solver_status,objective_value,exit_turnover,eligible_names,buffered_holdings,minimum_position_cap
2018-08-31,0.4820419726408989,CLARABEL,optimal,0.016403714905825966,0.07055907663480121,214,14,0.004877707795
2018-09-28,0.4494071782085026,CLARABEL,optimal,0.01628989494108283,0.025699007929312623,214,14,0.0035321250650999997
2018-10-31,0.45591972670806513,CLARABEL,optimal,0.01636164319426967,0.054200649088481,216,16,0.0033122775
2018-11-30,0.6233588813230329,CLARABEL,optimal,0.01595508527606216,0.09579675906415779,221,21,0.0028651956199999998
2018-12-31,0.705129631613715,CLARABEL,optimal,0.015178363602006828,0.05710787930985699,231,31,0.005071534315000001
2019-01-31,0.47403025293768364,CLARABEL,optimal,0.01573717501377089,0.045709343344029374,224,24,0.0037621688400000003
2019-02-28,0.7147421852514024,CLARABEL,optimal,0.015073467384248548,0.05471186345239956,232,32,0.00394891038
2019-03-29,0.5871964258629827,CLARABEL,optimal,0.014851814620451887,0.03886854171193453,228,28,0.003857520985000001
2019-04-30,0.5425570072407081,CLARABEL,optimal,0.01601191025389814,0.07450012171014994,216,16,0.0099382725
2019-05-31,0.45269812317643066,CLARABEL,optimal,0.015983545746011886,0.022321845647507166,223,23,0.009807980300000001
2019-06-28,0.6860224961570178,CLARABEL,optimal,0.015985572934226894,0.15617987499541877,224,24,0.00804213282
2019-07-31,0.4275950019419347,CLARABEL,optimal,0.016654906527781024,0.058817896556039945,218,18,0.010049604453385
2019-08-30,0.38902268505708165,CLARABEL,optimal,0.016739946942416328,0.10533540595321111,215,15,0.0085390222
2019-09-30,0.566483739530378,CLARABEL,optimal,0.016479860171147942,0.16905402261940586,212,12,0.009303893970000001
2019-10-31,0.5127289025058275,CLARABEL,optimal,0.016795257142706955,0.03932410579357931,223,23,0.00875184843
2019-11-29,0.6777890735763975,CLARABEL,optimal,0.016626529383458922,0.07446815357416146,227,27,0.009340944285
2019-12-31,0.6965777210816224,CLARABEL,optimal,0.016503764235487932,0.036801442150767055,228,28,0.003638529175
2020-01-31,0.6001059997028488,CLARABEL,optimal,0.016205695216854298,0.04084467917628595,226,26,0.0049889109600000005
2020-02-28,0.6642507660526649,CLARABEL,optimal,0.015704930791285425,0.07473301319146425,224,24,0.00225410775
2020-03-31,0.7499994620171841,CLARABEL,optimal,0.01337338998327521,0.07529651533370907,237,37,0.00225375951
2020-04-30,0.4209357686005396,CLARABEL,optimal,0.014384898829565139,0.023718806226432333,231,31,0.0036703948900000008
2020-05-29,0.7251502382239505,CLARABEL,optimal,0.013123767777353908,0.06368524892395397,231,31,0.00348424238
2020-06-30,0.44504525976010095,CLARABEL,optimal,0.01323995382953255,0.021789494922412028,231,31,0.0014707094649999998
2020-07-31,0.35245613566304024,CLARABEL,optimal,0.01353990822193958,0.030575026014134612,226,26,0.00134784791
